letter,cout_all,count_uppercase,percentage
u,7,0,0.0
h,3,0,0.0
k,5,2,40.0
v,4,0,0.0
c,1,1,100.0
l,20,3,15.0
r,6,0,0.0
b,2,0,0.0
n,28,9,32.142857142857146
o,12,0,0.0
p,9,2,22.22222222222222
s,24,1,4.166666666666666
d,7,0,0.0
i,28,7,25.0
y,4,0,0.0
a,15,2,13.333333333333334
e,32,0,0.0
f,4,0,0.0
t,15,0,0.0
w,18,0,0.0
m,3,0,0.0
